week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_tds,rushing_twoptm,receiving_tds,receiving_rec,receiving_yds,fumbles_lost,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_fgblk,defense_puntblk
11.0,JAX,DT,M.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,QB,D.Kizer,,,,,,,,,,0.0,,,22.0,0.0,0.0,,,,2.0,,179.0,1.0,0.0,2.0,,
11.0,JAX,WR,J.Mickens,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
11.0,CLE,P,B.Colquitt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,RB,L.Fournette,,,,,,,,,,0.0,,,111.0,0.0,0.0,0.0,2.0,7.0,,0.0,,,,,,
11.0,CLE,DEF,T.Coley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,DEF,J.Burgess,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,WR,K.Cole,,,,,,,,,,0.0,,,,,,0.0,3.0,24.0,0.0,0.0,,,,,,
11.0,CLE,FS,D.Kindred,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,QB,B.Bortles,,,,,,,,,,0.0,,,4.0,0.0,0.0,,,,1.0,,154.0,1.0,0.0,0.0,,
11.0,CLE,OLB,J.Schobert,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,DL,D.Shelton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,RB,C.Ivory,,,,,,,,,,0.0,,,6.0,0.0,0.0,,,,,,,,,,,
11.0,CLE,LB,E.Ogbah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,DB,J.Taylor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,P,B.Nortman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,WR,C.Coleman,,,,,,,,,,0.0,,,,,,0.0,6.0,80.0,,0.0,,,,,,
11.0,JAX,OLB,T.Smith,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
11.0,CLE,WR,R.Higgins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,,T.Bohanon,,,,,,,,,,0.0,,,3.0,0.0,0.0,,,,,,,,,,,
11.0,JAX,WR,M.Lee,,,,,,,,,,0.0,,,,,,0.0,5.0,45.0,,0.0,,,,,,
11.0,CLE,CB,B.Boddy-Calhoun,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,TE,M.Lewis,,,,,,,,,,0.0,,,,,,1.0,2.0,26.0,,0.0,,,,,,
11.0,CLE,RB,D.Johnson,,,,,,,,,,0.0,,,10.0,0.0,0.0,1.0,4.0,56.0,,0.0,,,,,,
11.0,JAX,DB,T.Gipson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DE,Y.Ngakoue,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,TE,S.DeValve,,,,,,,,,,0.0,,,,,,0.0,1.0,5.0,,0.0,,,,,,
11.0,CLE,DE,C.Nassib,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,ILB,C.Kirksey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,OLB,M.Jack,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,WR,R.Louis,,,,,,,,,,0.0,,,,,,0.0,1.0,15.0,,0.0,,,,,,
11.0,JAX,SS,B.Church,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,DEF,L.Ogunjobi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,RB,T.Yeldon,,,,,,,,,,0.0,,,15.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,,,,,,
11.0,CLE,DEF,J.Peppers,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,
11.0,CLE,WR,D.King,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,WR,D.Westbrook,,,,,,,,,,0.0,,,,,,0.0,3.0,35.0,0.0,0.0,,,,,,
11.0,JAX,,L.Pinkard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,LB,N.Orchard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,CB,J.Ramsey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,K,Z.Gonzalez,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,
11.0,CLE,DEF,M.Garrett,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
11.0,JAX,WR,C.Robinson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DEF,D.Smoot,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,CB,J.McCourty,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DB,P.Thompson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,OG,A.Cann,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,TE,J.O'Shaughnessy,,,,,,,,,,0.0,,,,,,0.0,1.0,12.0,,0.0,,,,,,
11.0,JAX,G,C.Reed,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DE,C.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,WR,D.Njoku,,,,,,,,,,0.0,,,,,,0.0,1.0,13.0,,0.0,,,,,,
11.0,JAX,CB,A.Bouye,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DB,J.Wilson,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
11.0,JAX,C,B.Linder,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DT,M.Dareus,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,DE,D.Fowler,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
11.0,CLE,WR,K.Britt,,,,,,,,,,0.0,,,,,,0.0,2.0,5.0,,0.0,,,,,,
11.0,JAX,LB,L.McCray,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,CB,A.Colvin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,,T.Patmon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,JAX,RB,C.Grant,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,CLE,WR,D.Vitale,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,BAL,CB,L.Webb,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,GB,WR,T.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
11.0,BAL,K,J.Tucker,,,,,,,,,,0.0,94.0,2.0,,,,,,,,,,,,,,
11.0,GB,QB,B.Hundley,,,,,,,,,,0.0,,,19.0,0.0,0.0,,,,1.0,,239.0,0.0,0.0,3.0,,
