week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,kicking_xpmade,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_fgblk,defense_safe
5.0,CIN,RB,J.Mixon,,,,,,,,,,0.0,,51.0,,,1.0,,0.0,,,,,,,,,
5.0,BUF,SS,M.Hyde,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,,L.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,WR,T.Boyd,,,,,,,,,,0.0,2.0,,6.0,0.0,,0.0,,,,,,,,,,
5.0,CIN,WR,B.LaFell,,,,,,,,,,0.0,5.0,,32.0,0.0,,0.0,,,,,,,,,,
5.0,BUF,DT,A.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,SAF,C.Fejedelem,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,DEF,J.Willis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,SS,S.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,TE,N.O'Leary,,,,,,,,,,0.0,5.0,,54.0,0.0,,0.0,,,,,,,,,,
5.0,CIN,ILB,N.Vigil,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,CB,A.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,SS,G.Iloka,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,FB,M.Tolbert,,,,,,,,,,0.0,3.0,16.0,18.0,0.0,0.0,0.0,0.0,,,,,,,,,
5.0,BUF,,L.Thomas,,,,,,,,,,0.0,1.0,,3.0,0.0,,0.0,,,,,,,,,,
5.0,BUF,WR,Z.Jones,,,,,,,,,,0.0,1.0,,9.0,0.0,,0.0,,,,,,,,,,
5.0,BUF,DT,C.Thornton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,TE,T.Kroft,,,,,,,,,,0.0,4.0,,38.0,0.0,,0.0,,,,,,,,,,
5.0,BUF,DE,J.Hughes,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,DT,M.Dareus,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,RB,G.Bernard,,,,,,,,,,0.0,2.0,2.0,30.0,0.0,0.0,0.0,0.0,,,,,,,,,
5.0,BUF,FS,J.Poyer,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
5.0,BUF,DE,S.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,WR,K.Clay,,,,,,,,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,
5.0,BUF,OT,J.Mills,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
5.0,CIN,DE,C.Dunlap,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,DT,K.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,MLB,P.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,DEF,C.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,G,T.Hopkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,WR,D.Dawkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,TE,C.Uzomah,,,,,,,,,,0.0,1.0,,21.0,0.0,,0.0,,,,,,,,,,
5.0,CIN,G,C.Boling,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,DEF,R.Glasgow,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CIN,CB,J.Shaw,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,WR,G.Mabin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,RB,T.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,BUF,SS,S.Thomas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,K,Z.Gonzalez,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,
5.0,NYJ,OLB,D.Bass,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,DEF,M.Jordan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,LB,E.Ogbah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,RB,B.Powell,,,,,,,,,,0.0,4.0,5.0,28.0,0.0,0.0,0.0,0.0,,,,,,,,,
5.0,NYJ,WR,J.Kerley,,,,,,,,,,0.0,4.0,,39.0,0.0,,0.0,,,,,,,,,,
5.0,NYJ,QB,J.McCown,,,,,,,,,,0.0,,-3.0,,,0.0,,0.0,,,194.0,2.0,0.0,1.0,,,
5.0,CLE,CB,J.McCourty,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,DEF,M.Garrett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,P,L.Edwards,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
