week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_twoptm,rushing_tds,fumbles_lost,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_puntblk,defense_fgblk
6.0,MIA,T,J.James,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,DB,B.Poole,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,NT,D.Poe,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,DEF,D.Godchaux,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,DEF,T.McKinley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,DT,G.Jarrett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,OT,L.Tunsil,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,WR,L.Carroo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,SS,N.Allen,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,,J.Vellano,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,LB,V.Beasley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,FS,W.Aikens,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,DE,C.Wake,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,T,J.Matthews,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,DE,A.Branch,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,ATL,WR,S.Neasman,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
6.0,MIA,FS,M.Thomas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,WR,J.Grant,,,,,,,,,,0.0,,,,,,,4.0,1.0,0.0,0.0,,,,,,
6.0,ATL,SS,K.Ishmael,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,MIA,,S.Perry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,K,C.Barth,,,,,,,,,,0.0,64.0,3.0,,,,,,,,,,,,,,
