week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,fumbles_lost,passing_ints,rushing_twoptm,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,defense_safe,defense_xpblk,defense_puntblk
10.0,GB,CB,D.House,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,QB,M.Trubisky,,,,,,,,,,0.0,,,297.0,,1.0,0.0,,,0.0,,,,,,,,
10.0,CHI,WR,K.Wright,,,,,,,,,,0.0,,,,,,,,,,,46.0,5.0,0.0,0.0,,,
10.0,GB,ILB,J.Ryan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,CB,D.Randall,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,WR,A.Shaheen,,,,,,,,,,0.0,,,,,,,,,,,39.0,2.0,0.0,0.0,,,
10.0,CHI,FS,D.Houston-Carson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,WR,T.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,P,P.O'Donnell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,OLB,S.Acho,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,RB,A.Jones,,,,,,,,,,0.0,,,,12.0,,,0.0,,,0.0,0.0,1.0,0.0,0.0,,,
10.0,CHI,CB,K.Fuller,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,QB,B.Hundley,,,,,,,,,,0.0,,,212.0,16.0,1.0,0.0,0.0,,0.0,0.0,,,,,,,
10.0,GB,WR,D.Adams,,,,,,,,,,0.0,,,,,,,,,,,90.0,5.0,1.0,0.0,,,
10.0,CHI,CB,C.LeBlanc,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,WR,R.Cobb,,,,,,,,,,0.0,,,,8.0,,,0.0,,,0.0,52.0,3.0,0.0,0.0,,,
10.0,CHI,ILB,N.Kwiatkoski,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,ILB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,DE,A.Hicks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,WR,T.Montgomery,,,,,,,,,,0.0,,,,54.0,,,1.0,,,0.0,14.0,2.0,0.0,0.0,,,
10.0,GB,WR,J.Nelson,,,,,,,,,,0.0,,,,,,,,,,,20.0,3.0,0.0,0.0,,,
10.0,GB,TE,L.Kendricks,,,,,,,,,,0.0,,,,,,,,,,,9.0,1.0,0.0,0.0,,,
10.0,CHI,WR,T.Cohen,,,,,,,,,,0.0,,,,1.0,,,0.0,,,0.0,10.0,1.0,0.0,0.0,,,
10.0,GB,FB,A.Ripkowski,,,,,,,,,,0.0,,,,3.0,,,0.0,,,0.0,12.0,1.0,0.0,0.0,,,
10.0,GB,DEF,J.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,,D.Brown,,,,,,,,,,0.0,,,,,,,,,,,23.0,2.0,0.0,0.0,,,
10.0,CHI,T,B.Massie,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,ILB,B.Martinez,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,FS,H.Clinton-Dix,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,WR,J.Bellamy,,,,,,,,,,0.0,,,,,,,,,,,57.0,2.0,1.0,0.0,,,
10.0,CHI,K,C.Barth,,,,,,,,,,0.0,138.0,1.0,,,,,,,,,,,,,,,
10.0,CHI,DE,M.Unrein,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,FS,A.Amos,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,P,J.Vogel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,NT,K.Clark,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,LB,J.Thomas,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,DB,P.Amukamara,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,RB,J.Williams,,,,,,,,,,0.0,,,,67.0,,,0.0,,,0.0,7.0,1.0,0.0,0.0,,,
10.0,GB,WR,M.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,WR,D.Inman,,,,,,,,,,0.0,,,,,,,,,,,88.0,6.0,0.0,0.0,,,
10.0,GB,,J.Whitehead,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,DB,M.Evans,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,OLB,N.Perry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,ILB,C.Matthews,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,OLB,A.Brooks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,DEF,K.King,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,OT,B.Sowell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,DEF,E.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,OLB,P.McPhee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,OLB,L.Floyd,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,DE,D.Lowry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,DEF,B.Braunecker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,NT,E.Goldman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,OLB,K.Fackrell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,GB,TE,R.Rodgers,,,,,,,,,,0.0,,,,,,,,,,,8.0,1.0,0.0,0.0,,,
10.0,CHI,,T.McBride,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,CHI,C,H.Grasu,,,,,,,,,,0.0,,,,,,,,,,,2.0,0.0,0.0,0.0,,,
10.0,CLE,K,Z.Gonzalez,,,,,,,,,,0.0,23.0,3.0,,,,,,,,,,,,,,,
10.0,CLE,LB,E.Ogbah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
10.0,DET,QB,M.Stafford,,,,,,,,,,0.0,,,249.0,17.0,3.0,0.0,0.0,,1.0,0.0,,,,,,,
10.0,DET,RB,A.Abdullah,,,,,,,,,,0.0,,,,52.0,,,1.0,,,0.0,3.0,1.0,0.0,0.0,,,
10.0,DET,RB,T.Riddick,,,,,,,,,,0.0,,,,35.0,,,0.0,,,0.0,12.0,3.0,1.0,0.0,,,
