week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,rushing_tds,receiving_rec,rushing_yds,receiving_yds,receiving_tds,receiving_twoptm,rushing_twoptm,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_puntblk,defense_safe,defense_fgblk
9.0,IND,WR,K.Aiken,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DEF,C.Milton,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,TE,S.Anderson,,,,,,,,,,0.0,,,4.0,,44.0,0.0,0.0,,,,,,,,,,
9.0,IND,,J.George,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,ILB,A.Morrison,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DE,H.Anderson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,T,B.Giacomini,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,K,K.Fairbairn,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,,,
9.0,HOU,FS,M.Gilchrist,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,TE,J.Doyle,,,,,,,,,,0.0,,,8.0,,63.0,0.0,0.0,,,,,,,,,,
9.0,HOU,FB,J.Prosch,,,,,,,,,,0.0,,,1.0,,1.0,0.0,0.0,,,,,,,,,,
9.0,HOU,WR,J.Davenport,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,HOU,CB,K.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,DE,A.Blackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DE,M.Hunt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,CB,D.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,WR,D.Moncrief,,,,,,,,,,0.0,,,1.0,,7.0,0.0,0.0,,,,,,,,,,
9.0,HOU,FS,K.Drummond,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,WR,K.Kalis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DT,J.Hankins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DEF,A.Walker,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,HOU,CB,M.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DEF,G.Stewart,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,IND,DT,H.Ridgeway,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CIN,K,M.Koehn,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
9.0,CIN,SS,G.Iloka,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,JAX,RB,C.Ivory,,,,,,,,,,0.0,,0.0,3.0,69.0,34.0,0.0,0.0,0.0,,,,,,,,,
9.0,JAX,WR,K.Cole,,,,,,,,,,0.0,,,3.0,,47.0,0.0,0.0,,,,,,,,,,
9.0,JAX,QB,B.Bortles,,,,,,,,,,0.0,,0.0,,20.0,,,,0.0,,259.0,1.0,0.0,0.0,,,,
9.0,CIN,OLB,V.Burfict,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,JAX,RB,C.Grant,,,,,,,,,,0.0,,0.0,,18.0,,,,0.0,,,,,,,,,
9.0,CIN,DE,M.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,JAX,TE,M.Lewis,,,,,,,,,,0.0,,,3.0,,49.0,0.0,0.0,,,,,,,,,,
9.0,CIN,CB,A.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CIN,DT,G.Atkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,CIN,SS,S.Williams,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,
9.0,CIN,WR,C.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
9.0,JAX,WR,M.Lee,,,,,,,,,,0.0,,,8.0,,75.0,1.0,0.0,,,,,,,,,,
