week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,kicking_xpmade,kicking_fgm_yds,defense_fgblk,defense_xpblk,defense_puntblk,fumbles_rec_tds
15.0,CHI,FB,M.Burton,,,,,,,,,,0.0,,,,,,,,,2.0,0.0,0.0,,,,,,,
15.0,CHI,CB,S.McManis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,,J.Timu,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,WR,M.Wheaton,,,,,,,,,,0.0,,,,,2.0,42.0,0.0,0.0,,,,,,,,,,
15.0,CHI,WR,D.Inman,,,,,,,,,,0.0,,,,,1.0,5.0,0.0,0.0,,,,,,,,,,
15.0,CHI,C,H.Grasu,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,CHI,OG,C.Whitehair,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,DET,DE,E.Ansah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,K,H.Butker,,,,,,,,,,0.0,,,,,,,,,,,,,3.0,106.0,,,,
15.0,LAC,TE,H.Henry,,,,,,,,,,0.0,,,,,3.0,28.0,0.0,0.0,,,,,,,,,,
15.0,LAC,QB,P.Rivers,,,,,,,,,,0.0,227.0,0.0,3.0,1.0,,,,,,,,,,,,,,
15.0,KC,ILB,D.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,WR,T.Benjamin,,,,,,,,,,0.0,,,,,1.0,7.0,0.0,0.0,7.0,0.0,0.0,,,,,,,
15.0,KC,SS,R.Parker,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,
15.0,LAC,WR,K.Allen,,,,,,,,,,0.0,,,,,5.0,54.0,0.0,0.0,,,,,,,,,,
15.0,LAC,RB,M.Gordon,,,,,,,,,,0.0,,,,,6.0,91.0,0.0,0.0,78.0,1.0,0.0,,,,,,,
15.0,KC,DE,A.Bailey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,ILB,R.Ragland,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,CB,E.Murray,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,FB,D.Watt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,P,D.Kaser,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,WR,T.Hill,,,,,,,,,,0.0,,,,,5.0,88.0,1.0,0.0,,,,,,,,,,
15.0,KC,RB,K.Hunt,,,,,,,,,,0.0,,,,,7.0,51.0,1.0,0.0,155.0,1.0,0.0,,,,,,,
15.0,KC,QB,A.Smith,,,,,,,,,,0.0,231.0,0.0,0.0,2.0,,,,,13.0,0.0,0.0,,,,,,,
15.0,LAC,OLB,M.Ingram,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,DEF,D.King,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,CB,A.Phillips,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,OLB,F.Zombo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,,K.Toomer,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,P,D.Colquitt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,DT,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,WR,Ty.Williams,,,,,,,,,,0.0,,,,,3.0,31.0,0.0,0.0,,,,,,,,,,
15.0,LAC,TE,A.Gates,,,,,,,,,,0.0,,,,,1.0,10.0,1.0,0.0,,,,,,,,,,
15.0,KC,TE,O.Charles,,,,,,,,,,0.0,,,,,1.0,18.0,0.0,0.0,,,,0.0,,,,,,
15.0,LAC,TE,S.McGrath,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,DB,D.Sorensen,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,
15.0,LAC,DB,C.Hayward,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,TE,T.Kelce,,,,,,,,,,0.0,,,,,6.0,46.0,0.0,0.0,,,,,,,,,,
15.0,LAC,DE,J.Bosa,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,FS,T.Boston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,NT,D.Square,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,DEF,Tr.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,TE,D.Harris,,,,,,,,,,0.0,,,,,1.0,7.0,0.0,0.0,,,,,,,,,,
15.0,KC,RB,C.West,,,,,,,,,,0.0,,,,,,,,,6.0,0.0,0.0,,,,,,,
15.0,LAC,DE,C.Liuget,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,OLB,J.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,DT,R.Nunez-Roches,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,OLB,K.Pierre-Louis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
