week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_twoptm,passing_ints,passing_tds,fumbles_lost
2.0,BUF,,L.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,P,M.Palardy,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,WR,K.Clay,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2.0,CAR,OLB,J.Peppers,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,FS,K.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,MLB,L.Kuechly,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,DB,C.Anderson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,DE,J.Hughes,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,DEF,E.Yarbrough,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,OLB,T.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,TE,C.Clay,,,,,,,,,,0.0,,,3.0,,23.0,0.0,,0.0,,,,,,0.0
2.0,CAR,DE,M.Addison,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,FB,M.Tolbert,,,,,,,,,,0.0,,,1.0,5.0,2.0,0.0,0.0,0.0,0.0,,,,,
2.0,BUF,,D.Lacey,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,OT,D.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,TE,E.Dickson,,,,,,,,,,0.0,,,2.0,,26.0,0.0,,0.0,,,,,,
2.0,CAR,WR,R.Shepard,,,,,,,,,,0.0,,,1.0,,6.0,0.0,,0.0,,,,,,
2.0,BUF,OG,J.Miller,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,WR,D.Byrd,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,DE,Ch.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,FB,P.DiMarco,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,DT,M.Dareus,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,DB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,LB,D.Mayo,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,DT,V.Butler,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,ILB,J.Norris,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,CB,S.Wright,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2.0,BUF,WR,T.Elston,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,CB,C.Munnerlyn,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,BUF,WR,J.Matthews,,,,,,,,,,0.0,,,3.0,,30.0,0.0,,0.0,,,,,,
2.0,CAR,,K.Love,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,CAR,OLB,S.Thompson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,IND,P,R.Sanchez,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,IND,DE,J.Sheard,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,ARI,,K.Williams,,,,,,,,,,0.0,,,,22.0,,,0.0,,0.0,,,,,
