week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_tds,receiving_rec,rushing_yds,receiving_yds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,fumbles_lost,defense_safe,defense_xpblk,fumbles_rec_tds,defense_fgblk
17.0,BAL,DE,C.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,RB,G.Bernard,,,,,,,,,,0.0,,,0.0,6.0,52.0,18.0,0.0,0.0,0.0,,,,,,,,,
17.0,BAL,NT,B.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,SS,T.Jefferson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,WR,A.Green,,,,,,,,,,0.0,,,0.0,2.0,,17.0,,0.0,,,,,,,,,,
17.0,BAL,DB,E.Weddle,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,
17.0,CIN,TE,T.Kroft,,,,,,,,,,0.0,,,2.0,6.0,,53.0,,0.0,,,,,,,,,,
17.0,CIN,K,R.Bullock,,,,,,,,,,0.0,32.0,4.0,,,,,,,,,,,,,,,,
17.0,CIN,DEF,C.Carter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,WR,C.Moore,,,,,,,,,,0.0,,,1.0,1.0,,6.0,,0.0,,,,,,,,,,
17.0,BAL,RB,A.Collins,,,,,,,,,,0.0,,,0.0,2.0,78.0,18.0,1.0,0.0,0.0,,,,,,,,,
17.0,CIN,DT,G.Atkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,SS,S.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,QB,J.Flacco,,,,,,,,,,0.0,,,,,,,,,,203.0,2.0,0.0,1.0,,,,,
17.0,BAL,RB,J.Allen,,,,,,,,,,0.0,,,,,37.0,,0.0,,0.0,,,,,,,,,
17.0,BAL,WR,M.Wallace,,,,,,,,,,0.0,,,1.0,5.0,,40.0,,0.0,,,,,,,,,,
17.0,CIN,CB,D.Kirkpatrick,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,P,S.Koch,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,P,K.Huber,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,WR,M.Campanaro,,,,,,,,,,0.0,,,0.0,3.0,,36.0,,0.0,,,,,,,,,,
17.0,CIN,SS,G.Iloka,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,OLB,V.Rey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,RB,D.Woodhead,,,,,,,,,,0.0,,,0.0,4.0,3.0,16.0,0.0,0.0,0.0,,,,,,,,,
17.0,BAL,CB,S.Jean-Baptiste,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,WR,B.LaFell,,,,,,,,,,0.0,,,0.0,2.0,,35.0,,0.0,,,,,,,,,,
17.0,CIN,WR,T.Boyd,,,,,,,,,,0.0,,,1.0,5.0,,91.0,,0.0,,,,,,,,,,
17.0,BAL,DEF,M.Humphrey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,DEF,C.Clark,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DEF,B.Bell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,LB,M.Judon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DEF,R.Glasgow,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DEF,J.Evans,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,CB,W.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,SAF,C.Fejedelem,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DEF,J.Willis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DEF,H.Nickerson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DT,P.Sims,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,OLB,T.Suggs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DE,C.Dunlap,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,DT,M.Pierce,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,LB,Z.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,TE,B.Watson,,,,,,,,,,0.0,,,0.0,7.0,,61.0,,0.0,,,,,,,,,,
17.0,BAL,,V.Mayle,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,WR,A.Redmond,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,CB,D.Dennard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DEF,B.Hill,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,NT,A.Billings,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,TE,N.Boyle,,,,,,,,,,0.0,,,0.0,2.0,,24.0,,0.0,,,,,,,,,,
17.0,CIN,DEF,T.McRae,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,WR,P.Ricard,,,,,,,,,,0.0,,,0.0,1.0,,2.0,,0.0,,,,,,,,,,
17.0,CIN,CB,J.Shaw,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DEF,C.Lawson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,BAL,TE,M.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,CIN,DE,M.Johnson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,K,M.Crosby,,,,,,,,,,0.0,41.0,0.0,,,,,,,,,,,,,,,,
17.0,GB,,J.Whitehead,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,QB,B.Hundley,,,,,,,,,,0.0,,,0.0,1.0,15.0,10.0,0.0,0.0,0.0,172.0,1.0,1.0,2.0,1.0,,,,
17.0,GB,WR,R.Cobb,,,,,,,,,,0.0,,,1.0,4.0,4.0,45.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,,,,,
17.0,DET,DT,A.Robinson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DE,E.Ansah,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,RB,J.Williams,,,,,,,,,,0.0,,,0.0,3.0,82.0,31.0,0.0,0.0,0.0,,,,,,,,,
17.0,DET,CB,D.Hayden,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,WR,G.Allison,,,,,,,,,,0.0,,,0.0,2.0,,15.0,,0.0,,,,,,,,,,
17.0,DET,FS,G.Quin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,WR,M.Clark,,,,,,,,,,0.0,,,0.0,1.0,,5.0,,0.0,,,,,,,,,,
17.0,DET,DEF,J.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DT,A.Zettel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DT,A.Spence,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,CB,Q.Diggs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,TE,L.Kendricks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,RB,T.Riddick,,,,,,,,,,0.0,,,0.0,2.0,10.0,12.0,0.0,0.0,0.0,,,,,,,,,
17.0,GB,ILB,J.Ryan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,SS,M.Burnett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,QB,M.Stafford,,,,,,,,,,0.0,,,,,2.0,,0.0,1.0,0.0,323.0,3.0,0.0,0.0,,,,,
17.0,GB,NT,K.Clark,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,ILB,B.Martinez,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,DEF,L.Pipkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,WR,K.Golladay,,,,,,,,,,0.0,,,1.0,2.0,,80.0,,0.0,,,,,,,,,,
17.0,GB,WR,T.Davis,,,,,,,,,,0.0,,,0.0,3.0,,56.0,,0.0,,,,,,,,,,
17.0,DET,P,S.Martin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,WR,D.Mays,,,,,,,,,,0.0,,,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
17.0,DET,DE,Co.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DEF,J.Agnew,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,
17.0,DET,CB,D.Slay,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,OLB,T.Whitehead,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,
17.0,GB,WR,J.Janis,,,,,,,,,,0.0,,,0.0,1.0,,0.0,,0.0,,,,,,,,,,
17.0,GB,DB,M.Evans,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,RB,A.Abdullah,,,,,,,,,,0.0,,,0.0,1.0,18.0,11.0,1.0,0.0,0.0,,,,,,,,,
17.0,GB,CB,D.House,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,WR,M.Jones Jr.,,,,,,,,,,0.0,,,1.0,4.0,,81.0,,0.0,,,,,,,,,,
17.0,DET,TE,E.Ebron,,,,,,,,,,0.0,,,0.0,1.0,,9.0,,0.0,,,,,,,,,,
17.0,GB,DEF,J.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,K,M.Prater,,,,,,,,,,0.0,58.0,3.0,,,,,,,,,,,,,,,,
17.0,DET,RB,T.Green,,,,,,,,,,0.0,,,0.0,2.0,21.0,14.0,0.0,0.0,0.0,,,,,,,,,
17.0,DET,WR,G.Tate,,,,,,,,,,0.0,,,1.0,7.0,,104.0,,0.0,,,,1.0,,,,,,
17.0,GB,DEF,R.Gilbert,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,ILB,C.Matthews,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DEF,Ch.Washington,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DEF,J.Ledbetter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,P,J.Vogel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,DE,M.Daniels,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,FS,H.Clinton-Dix,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DEF,S.Longa,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,WR,L.Patrick,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DEF,J.Reeves-Maybin,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,OLB,K.Fackrell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,MLB,P.Worrilow,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,
17.0,GB,WR,D.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,1.0,,,,
17.0,DET,SS,M.Killebrew,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,WR,E.Byrd,,,,,,,,,,0.0,,,0.0,2.0,,31.0,,0.0,,,,,,,,,,
17.0,GB,CB,J.Hawkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,TE,D.Fells,,,,,,,,,,0.0,,,0.0,1.0,,12.0,,0.0,,,,,,,,,,
17.0,GB,DEF,V.Biegel,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,DE,D.Lowry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,OLB,A.Brooks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,DET,DE,C.Ringo,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
17.0,GB,QB,J.Callahan,,,,,,,,,,0.0,,,,,,,,,,11.0,0.0,0.0,0.0,,,,,
