week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,kicking_fgm_yds,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,fumbles_lost,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,passing_ints,rushing_twoptm,defense_xpblk,defense_fgblk,fumbles_rec_tds
12.0,DAL,CB,O.Scandrick,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,LB,J.Durant,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,RB,M.Gordon,,,,,,,,,,0.0,,,23.0,3.0,0.0,0.0,,,65.0,,,0.0,,0.0,,,
12.0,DAL,DE,D.Lawrence,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,DT,M.Collins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,WR,T.Benjamin,,,,,,,,,,0.0,,,50.0,3.0,0.0,0.0,,,6.0,,,0.0,,0.0,,,
12.0,DAL,DEF,X.Woods,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,T,J.Barksdale,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,ILB,D.Wilson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,WR,K.Allen,,,,,,,,,,0.0,,,172.0,11.0,1.0,0.0,,,,,,,,,,,
12.0,DAL,FS,B.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,DE,J.Bosa,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,CB,A.Phillips,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,SS,J.Addae,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,RB,R.Smith,,,,,,,,,,0.0,,,7.0,2.0,0.0,0.0,,,41.0,,,1.0,,0.0,,,
12.0,LAC,DE,T.Palepoi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,DEF,R.Jenkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,WR,T.Williams,,,,,,,,,,0.0,,,54.0,4.0,0.0,0.0,,,6.0,,,0.0,,0.0,,,
12.0,LAC,DE,C.Liuget,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,DT,T.Crawford,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,TE,J.Cumberland,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,RB,A.Ekeler,,,,,,,,,,0.0,,,55.0,3.0,0.0,0.0,,,15.0,,,0.0,,0.0,,,
12.0,LAC,C,S.Pulley,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,
12.0,DAL,DEF,J.Lewis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,DE,D.Philon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,DB,C.Hayward,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,FS,T.Boston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,DT,B.Mebane,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
